ID, year, virus, cells*, Base Medium, FBS% pre-inoculation, FBS% post-inculcation, penicillin (IU/ml),streptomycin (mg/ml), amphotericin (mg/ml),link
VI2,2013,SL-CoV-WIV1,Vero E6,DMEM,10,2,200,0.2,0.5,https://pubmed.ncbi.nlm.nih.gov/24172901/
VI4,1983,HFRS+,Vero E6,EMEM,5-10,1-2,-,-,-,https://pubmed.ncbi.nlm.nih.gov/6134854/
VI8,2020,SARS-CoV-2,Vero E6,DMEM,10,2,100,-,15,https://pubmed.ncbi.nlm.nih.gov/6134854/
VI13,2020,SARS-CoV-2,Vero CCL-81,DMEM,5-10,10,200***,0.2***,0.0005***,https://wwwnc.cdc.gov/eid/article/26/6/20-0516_article
VI14,2019,HRSV,HEP-2,DMEM,10**,2,100,-,100,https://doi.org/10.1016/j.bjid.2019.10.007
VI15,2019,DENV-2,C6/36,MEM,10**,2,^^,^^,^^,https://pmc.ncbi.nlm.nih.gov/articles/PMC6823047/
VI16,2002,HSV-1,Vero,MEM.5,1,-,-,-,https://pubmed.ncbi.nlm.nih.gov/11983023/
VI18,2015,influenza,Vero,DMEM,10,0.2,-,-,-,https://pubmed.ncbi.nlm.nih.gov/25448099/
SPT10,2022,ZIKV,Vero,DMEM,10,2,100--,0.1--,0,https://pubmed.ncbi.nlm.nih.gov/25448099/

*some studies use many cell types. in these cases the primary cell type used for isolation cultures is listed.
+ hernorrhagic fever with renal syndrome
** No mention of pre-inoculation medium. We assume ATCC recommended FBS % for the cell line thawing and pre inoculation passages.
^^ authors report growth medium as "MEM with 2% FBS and antibiotics"
++ Equal volumes of MEM + Ham’s nutrient mixture F-12 as basal medium.
-- Estimated from 1% (v/v) Invitrogen penicillin-streptomycin (standard 100× stock) in Vero growth medium. Amphotericin B: not used.
***Estimated from 2× GIBCO antibiotics/antimycotics (standard 100× stock) + 2× penicillin/streptomycin + 2× amphotericin B in Vero resuspension medium for virus isolation (DMEM + 10% FBS)